"Job_Link","Title","Industry","Job_Category_parent","Job_Category","Salary_Mode","Min_Salary","Max_Salary","Skills","Job_Type","Work Arrangement","Education","Experience"
"https://glints.com/id/opportunities/jobs/20bd17d0-4d13-4fec-89c6-537ae58bf9ac","Retail Sales (SPG) Toko","Apparel & Fashion","Business Development & Sales","Sales Operations","MONTH","2000000","3750000","Teamwork, Administration, Selling, Public Speaking, Communication Skills, Microsoft Excel, Microsoft Word, Customer Service","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/20b52cb0-c9eb-45c7-99cf-76fe8506ebbe","Sales Canvassing","Marketing and Advertising","Business Development & Sales","Sales Operations","N/A","0","0","Sales Strategy, Communication Skills, Sales Operations, Sales and Marketing, Sales Management","FULL_TIME","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/209929dc-8156-4f4f-abe0-8208c8b3c87b","Admin Sales","Food & Beverages","Administrative & HR","Administrative Staff","MONTH","4000000","6000000","Accurate, Microsoft Office, Google Sheets, Data Entry, Microsoft Excel, Google Docs","FULL_TIME","ONSITE","DIPLOMA","1"
"https://glints.com/id/opportunities/jobs/208decdd-7c23-4b2b-8e2d-2f6042f1c3a9","IT Helpdesk","Information Technology and Services","Computer & Software","IT Support","MONTH","2000000","3000000","Troubleshooting, Network Troubleshooting, Hardware Maintenance, IT Support, Help Desk, Technical Support, Customer Service, Remote Support","FULL_TIME","ONSITE","BACHELOR_DEGREE","0"
"https://glints.com/id/opportunities/jobs/205f6878-5165-46a6-b166-6e8ae968fff7","Staf Marketing (Cab. Kalimantan Tengah)","Facilities Services","Marketing","Marketing Professionals","MONTH","2500000","","Marketing Communications, Marketing Strategy, Negotiation Skills, Sales and Marketing, Problem Solving","FULL_TIME","ONSITE","DIPLOMA","0"
"https://glints.com/id/opportunities/jobs/204c4d68-352b-427d-86b9-a0f9bcbfadbc","Staf Gudang","Hospitality","Storage","Warehouse Clerk","MONTH","4500000","4800000","Inventory Management, Logistics Management, Warehouse Management, Stock Opname","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/203a70c9-009b-4d80-ba84-d5357bd3040e","Sales Consultant","Information Technology and Services","Business Development & Sales","Account Manager","N/A","0","0","Sales and Marketing, Sales Strategy, B2B Sales","FULL_TIME","REMOTE","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/201ead0c-56c3-42cf-b31b-18118023f558","Customer Service & Telemarketing Cargo Penempatan Surabaya","Logistics and Supply Chain","Business Development & Sales","Telemarketer","MONTH","4000000","6000000","B2B Sales, Sales and Marketing, Telesales, Customer Service, B2C Sales, Customer Engagement, Outbound Call, Sales Strategy, Customer Relationship Management","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
"https://glints.com/id/opportunities/jobs/1ff0bd54-7f67-453a-9ddd-7a9e76015450","Account Receivable","Retail","Accounting","Accountant","MONTH","3000000","3500000","Microsoft Office, Microsoft Excel, Communication Skills, Teamwork, Administration","FULL_TIME","ONSITE","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/1feee46d-5d00-4379-b28f-e01b4f1b5b0a","Manajer Operasional Tour & Travel","Staffing and Recruiting","Travel Services","Travel Agent","MONTH","2000000","3000000","Travel Management, Travel Itinerary Planning, Teamwork, Customer Service, Communication Skills","FULL_TIME","ONSITE","BACHELOR_DEGREE","1"
"https://glints.com/id/opportunities/jobs/1fd72bae-5134-4e7b-b5ff-574191d9347e","Manager operasional","Food & Beverages","Operations","Business Operations","MONTH","7500000","9000000","Good Attitude, Operations Management, Leadership, Operational Strategy, Western Restaurant","FULL_TIME","ONSITE","BACHELOR_DEGREE","3"
"https://glints.com/id/opportunities/jobs/1fb8722f-0ccb-453e-895d-0be13cbce0a5","Admin Officer","Retail","Administrative & HR","Administrative Staff","MONTH","2320000","3480000","Administration, Microsoft Excel, Office Administration, Microsoft Office, Customer Service","FULL_TIME","ONSITE","DIPLOMA","1"
"https://glints.com/id/opportunities/jobs/1fa2ef21-0686-442f-b104-60e7dee3798e","cashier","Food & Beverages","Services Industry","Cashier","MONTH","1600000","1700000","Accounting, Cashier, Teamwork","FULL_TIME","ONSITE","HIGH_SCHOOL","0"
"https://glints.com/id/opportunities/jobs/1f6ed591-8c53-47c2-82e4-e544653ab099","Digital Marketing (Intern, Paid 500.000)","Management Consulting","Marketing","Digital Marketing Specialist","MONTH","700000","750000","Image Editing, Google Analytics, Content Strategy, Content Marketing, Marketing Communications, Google Ads, Digital Marketing, Social Media","INTERNSHIP","ONSITE","DIPLOMA","0"
"https://glints.com/id/opportunities/jobs/1f5c7a32-002a-48bf-8cec-a12bc26728c6","Capster","Consumer Services","Services Industry","Hair Stylist","MONTH","4000000","5000000","Hairstylist, Hairdressing Training, Hair Extensions, Hair Coloring, Haircut","FULL_TIME","ONSITE","HIGH_SCHOOL","1"
